allein | alone
gemein | mean, nasty
glücklich | happy, lucky
hart | hard
hungrig | hungry
nervös | nervous
schwer | heavy, difficult
ungesund | unhealthy
gerade | straight (hold one's back straight)
verletzt | injured
nächste | next
erkältet | sick with a cold
frei | free
heiß | hot
in Ordnung | all right
müde | tired
sowieso | anyway
