gleich | the same, equivalent
besser | better
bestimmt | certainly, definitely
blöd | dumb
erst | just, only just
gar nicht | not at all
gestern | yesterday
betont | stressed, pointed
ausgezeichnet | excellent, magnificent
braun | brown
hellbraun | light brown
dunkelbraun | dark brown
attraktiv | attractive
lebendig | living, lively
bequem | comfortable
topaktuell | cutting-edge
