stehen | to suit (someone)
ausgehen | to go out
ankommen | to arrive
aussehen | to look (like)
los sein | to be up, to be wrong (What's up?)
probieren | to taste, to try
umtauschen | to exchange
weitersuchen | to continue searching
zurückschicken | to send back
verkaufen | to sell
anprobieren | to try on
passen | to fit
öffnen | to open
schließen | to close
realisieren | to realize
vergessen | to forget
