qm (Quadratmeter) | square meter
ungefähr | approximately
wenn | when
auf | on (on a table)
hinter | behind
neben | next to
unter | under
vor | in front of
doch | indeed
ja | really (intensifier)
überhaupt nicht | not at all
negativ | negative
positiv | positive
grau | gray
lila | purple
orange | orange
rot | red
schwarz | black
weiß | white
zu Hause | at home
Wer wohnt denn da? | Who lives there, then?
